Code,Title,Hours,Category
Computer Science Overview,,,Computer Science Overview
CS 1200,First Year Seminar,1,Computer Science Overview
CS 1210,Professional Development for Khoury Co-op,1,Computer Science Overview
Computer Science Fundamental Courses,,,Computer Science Fundamental Courses
"CS 1800
and CS 1802","Discrete Structures
and Seminar for CS 1800",5,Computer Science Fundamental Courses
"CS 2500
and CS 2501","Fundamentals of Computer Science 1
and Lab for CS 2500",5,Computer Science Fundamental Courses
"CS 2510
and CS 2511","Fundamentals of Computer Science 2
and Lab for CS 2510",5,Computer Science Fundamental Courses
CS 2810,Mathematics of Data Models,4,Computer Science Fundamental Courses
Computer Science Required Courses,,,Computer Science Required Courses
CS 3000,Algorithms and Data,4,Computer Science Required Courses
"CS 3500
and CS 3501","Object-Oriented Design
and Lab for CS 3500",5,Computer Science Required Courses
CS 3650,Computer Systems,4,Computer Science Required Courses
CS 3800,Theory of Computation,4,Computer Science Required Courses
CS 4500,Software Development,4,Computer Science Required Courses
or CS 4530,Fundamentals of Software Engineering,,Computer Science Required Courses
Security Required Course,,,Security Required Course
Complete one of the following:,4,,Security Required Course
CY 2550,Foundations of Cybersecurity,,Security Required Course
CY 3740,Systems Security,,Security Required Course
CY 4740,Network Security,,Security Required Course
Presentation Requirement,,,Presentation Requirement
Complete one of the following:,4,,Presentation Requirement
COMM 1112,Public Speaking,,Presentation Requirement
COMM 1113,Business and Professional Speaking,,Presentation Requirement
COMM 1210,Persuasion and Rhetoric,,Presentation Requirement
COMM 1511,Communication and Storytelling,,Presentation Requirement
THTR 1125,Improvisation,,Presentation Requirement
THTR 1130,Introduction to Acting,,Presentation Requirement
THTR 1180,The Dynamic On-Screen Presenter,,Presentation Requirement
THTR 2345,Acting for the Camera,,Presentation Requirement
Khoury Elective Courses,,,Khoury Elective Courses
"Students should plan to take a NUpath capstone using designated courses in either a concentration, computer science electives, or as a general elective.",,,"Students should plan to take a NUpath capstone using designated courses in either a concentration, computer science electives, or as a general elective."
"With adviser approval, directed study, research, project study, and appropriate graduate-level courses may also be taken as upper-division electives.",,,"With adviser approval, directed study, research, project study, and appropriate graduate-level courses may also be taken as upper-division electives."
